hs6,year,side
080242,2018,only_new
090510,2018,only_new
070529,2019,only_new
090962,2023,only_new
090962,2022,only_new
120590,2018,only_new
080132,2015,only_new
100790,2020,only_new
070529,2017,only_new
090962,2015,only_new
120110,2023,only_new
090412,2016,only_new
090932,2019,only_new
071333,2016,only_new
070190,2021,only_new
100790,2018,only_new
090832,2015,only_new
070529,2022,only_new
100290,2017,only_new
121221,2021,only_new
120710,2016,only_new
180100,2023,only_new
070529,2015,only_new
090520,2016,only_new
080122,2019,only_new
080262,2021,only_new
100829,2020,only_new
120710,2018,only_new
090520,2018,only_new
090620,2021,only_new
080122,2017,only_new
090822,2016,only_new
090932,2015,only_new
100290,2023,only_new
100290,2022,only_new
090412,2019,only_new
090300,2016,only_new
071333,2019,only_new
100590,2021,only_new
100290,2015,only_new
090822,2018,only_new
080132,2020,only_new
090412,2017,only_new
090922,2021,only_new
071333,2017,only_new
080222,2021,only_new
080122,2023,only_new
090962,2020,only_new
080122,2022,only_new
120710,2019,only_new
080122,2015,only_new
090520,2019,only_new
090962,2016,only_new
121294,2021,only_new
090720,2021,only_new
080132,2018,only_new
090412,2023,only_new
090412,2022,only_new
120710,2017,only_new
071333,2023,only_new
071333,2022,only_new
120110,2016,only_new
090520,2017,only_new
090962,2018,only_new
090822,2019,only_new
090412,2015,only_new
080212,2021,only_new
071333,2015,only_new
090300,2019,only_new
090832,2021,only_new
100490,2019,only_new
070529,2020,only_new
120110,2018,only_new
121010,2016,only_new
121292,2017,only_new
120710,2022,only_new
090300,2017,only_new
100490,2017,only_new
090520,2022,only_new
120729,2017,only_new
120710,2015,only_new
180100,2016,only_new
070190,2023,only_new
070190,2022,only_new
070529,2018,only_new
090520,2015,only_new
080262,2017,only_new
121292,2023,only_new
121292,2022,only_new
100290,2020,only_new
090962,2019,only_new
090932,2021,only_new
180100,2018,only_new
090812,2021,only_new
090300,2022,only_new
100490,2023,only_new
100490,2022,only_new
121292,2015,only_new
100810,2021,only_new
090822,2015,only_new
120110,2019,only_new
120729,2023,only_new
120729,2022,only_new
100290,2016,only_new
090300,2015,only_new
100490,2015,only_new
080252,2021,only_new
080242,2021,only_new
090510,2021,only_new
080262,2023,only_new
080122,2020,only_new
080262,2022,only_new
120729,2015,only_new
121010,2019,only_new
100290,2018,only_new
120110,2017,only_new
120590,2021,only_new
090620,2023,only_new
090620,2022,only_new
080122,2016,only_new
121010,2017,only_new
090412,2020,only_new
071333,2020,only_new
180100,2019,only_new
080122,2018,only_new
120110,2022,only_new
090922,2023,only_new
100790,2021,only_new
180100,2017,only_new
120110,2015,only_new
121010,2023,only_new
121010,2022,only_new
100290,2019,only_new
090412,2018,only_new
120710,2020,only_new
071333,2018,only_new
090520,2020,only_new
121010,2015,only_new
121294,2023,only_new
090720,2023,only_new
180100,2022,only_new
121292,2020,only_new
090822,2020,only_new
090300,2020,only_new
180100,2015,only_new
070190,2016,only_new
100490,2020,only_new
121292,2016,only_new
120729,2020,only_new
100829,2021,only_new
070190,2018,only_new
100490,2016,only_new
121292,2018,only_new
121221,2016,only_new
120729,2016,only_new
120791,2019,only_new
090300,2018,only_new
100490,2018,only_new
080262,2016,only_new
120729,2018,only_new
090812,2023,only_new
120791,2017,only_new
080132,2021,only_new
090620,2016,only_new
080262,2018,only_new
120110,2020,only_new
090962,2021,only_new
090620,2018,only_new
070190,2019,only_new
121010,2020,only_new
121292,2019,only_new
090922,2016,only_new
120791,2023,only_new
120791,2022,only_new
070190,2017,only_new
121221,2019,only_new
120729,2019,only_new
120791,2015,only_new
090922,2018,only_new
180100,2020,only_new
070529,2021,only_new
080262,2019,only_new
121294,2016,only_new
090720,2016,only_new
121010,2018,only_new
121221,2017,only_new
090620,2019,only_new
121294,2018,only_new
090720,2018,only_new
080212,2016,only_new
070190,2015,only_new
100590,2019,only_new
090620,2017,only_new
121221,2023,only_new
100290,2021,only_new
121221,2022,only_new
090922,2019,only_new
100590,2017,only_new
121221,2015,only_new
090922,2017,only_new
080222,2017,only_new
080262,2015,only_new
100829,2023,only_new
121294,2019,only_new
080122,2021,only_new
090720,2019,only_new
090812,2016,only_new
090620,2015,only_new
100590,2023,only_new
100590,2022,only_new
080212,2019,only_new
121294,2017,only_new
090812,2018,only_new
090720,2017,only_new
120791,2020,only_new
090412,2021,only_new
080252,2016,only_new
080242,2016,only_new
090922,2022,only_new
071333,2021,only_new
100590,2015,only_new
080222,2023,only_new
080222,2022,only_new
120590,2016,only_new
080212,2017,only_new
090922,2015,only_new
120791,2016,only_new
080222,2015,only_new
090832,2017,only_new
121294,2022,only_new
090720,2022,only_new
120791,2018,only_new
120710,2021,only_new
070190,2020,only_new
121294,2015,only_new
090520,2021,only_new
090720,2015,only_new
100790,2016,only_new
080212,2023,only_new
080212,2022,only_new
090812,2019,only_new
090832,2023,only_new
090832,2022,only_new
100810,2019,only_new
121292,2021,only_new
080212,2015,only_new
121221,2020,only_new
090932,2017,only_new
090822,2021,only_new
090812,2017,only_new
080252,2019,only_new
090300,2021,only_new
080242,2019,only_new
090510,2019,only_new
070529,2023,only_new
100490,2021,only_new
080262,2020,only_new
100810,2017,only_new
120590,2019,only_new
120729,2021,only_new
