hs6,year,n_eu_codes,min_mrl_weakest,lumped,stringency
071333,2022,1,0.003,0,5.8091
071333,2023,1,0.003,0,5.8091
071340,2015,1,0.01,0,4.6052
071340,2016,1,0.005,0,5.2983
071340,2017,1,0.005,0,5.2983
071340,2018,1,0.005,0,5.2983
071340,2019,1,0.005,0,5.2983
071340,2020,1,0.005,0,5.2983
071340,2021,1,0.005,0,5.2983
071340,2022,1,0.003,0,5.8091
071340,2023,1,0.003,0,5.8091
071410,2015,1,0.01,0,4.6052
071410,2016,1,0.002,0,6.2146
071410,2017,1,0.002,0,6.2146
071410,2018,1,0.002,0,6.2146
071410,2019,1,0.002,0,6.2146
071410,2020,1,0.002,0,6.2146
071410,2021,1,0.002,0,6.2146
071410,2022,1,0.001,0,6.9078
071410,2023,1,0.001,0,6.9078
071420,2015,1,0.01,0,4.6052
071420,2016,1,0.002,0,6.2146
071420,2017,1,0.002,0,6.2146
071420,2018,1,0.002,0,6.2146
071420,2019,1,0.002,0,6.2146
071420,2020,1,0.002,0,6.2146
071420,2021,1,0.002,0,6.2146
071420,2022,1,0.001,0,6.9078
071420,2023,1,0.001,0,6.9078
071430,2015,1,0.01,0,4.6052
071430,2016,1,0.002,0,6.2146
071430,2017,1,0.002,0,6.2146
071430,2018,1,0.002,0,6.2146
071430,2019,1,0.002,0,6.2146
071430,2020,1,0.002,0,6.2146
071430,2021,1,0.002,0,6.2146
071430,2022,1,0.001,0,6.9078
071430,2023,1,0.001,0,6.9078
071490,2015,1,0.01,0,4.6052
071490,2016,1,0.002,0,6.2146
071490,2017,1,0.002,0,6.2146
071490,2018,1,0.002,0,6.2146
071490,2019,1,0.002,0,6.2146
071490,2020,1,0.002,0,6.2146
071490,2021,1,0.002,0,6.2146
071490,2022,1,0.001,0,6.9078
071490,2023,1,0.001,0,6.9078
080111,2015,1,0.01,0,4.6052
080111,2016,1,0.01,0,4.6052
080111,2017,1,0.01,0,4.6052
080111,2018,1,0.01,0,4.6052
080111,2019,1,0.01,0,4.6052
080111,2020,1,0.01,0,4.6052
080111,2021,1,0.005,0,5.2983
080111,2022,1,0.005,0,5.2983
