parent_code,group_name,sub_code,product_name,scientific_name
0631030,Rose,0631030-024,Mullein,Verbascum spp.
0631030,Rose,0631030-025,Orange,Citrus sinensis
0631030,Rose,0631030-026,Peony,Paeonia officinalis
0631030,Rose,0631030-027,Red clover,Trifolium pratense
0631030,Rose,0631030-028,Sacred lotus,Nelumbo nucifera
0631030,Rose,0631030-029,Safflower,Carthamus tinctorius
0631030,Rose,0631030-030,Sandy everlasting,Helichrysum arenarium
0631030,Rose,0631030-031,St. John's wort,Hypericum perforatum
0631030,Rose,0631030-032,Sunflower,Helianthus annuus
0631030,Rose,0631030-033,Sweet olive/sweet osmanthus,Osmanthus fragrans
0631030,Rose,0631030-034,Sweet violet,Viola odorata
0631030,Rose,0631030-035,White deadnettle,Lamium album
0631030,Rose,0631030-036,Yarrow,Achillea millefolium
0631030,Rose,0631030-037,Ylang-ylang,Cananga odorata
0631040,Jasmine,,,Jasminum officinale; Jasminum sambac
0631050,Lime/linden,,,Tilia cordata; Tilia platyphyllos; Tilia tomentosa ; syn: Tilia argentea
0631990,Others ( 2 ),,,
0632000,"Leaves and aerial green parts, after removal of decayed leaves",,,
0632010,Strawberry,,,Fragaria x ananassa
0632010,Strawberry,0632010-001,Absinth/common wormwood,Artemisia absinthium
0632010,Strawberry,0632010-002,Agrimony,Agrimonia eupatoria
0632010,Strawberry,0632010-003,Alfalfa/lucerne,Medicago sativa
0632010,Strawberry,0632010-004,Aloe (leaf gel),Aloë barbadensis ; syn: Aloë vera
0632010,Strawberry,0632010-005,Alpine ladies mantle,Alchemilla alpina
0632010,Strawberry,0632010-006,Bearberry,Arctostaphylos uva-ursi
0632010,Strawberry,0632010-007,Bilberry/European blueberry/whortleberry,Vaccinium myrtillus
0632010,Strawberry,0632010-008,Birch,Betula pendula
0632010,Strawberry,0632010-009,Bitter orange/sour orange,Citrus aurantium
0632010,Strawberry,0632010-010,Blackberry,Rubus sect. Rubus
0632010,Strawberry,0632010-011,Boldo,Peumus boldus
0632010,Strawberry,0632010-012,Buchu,Barosma betulina ; syn: Agathosma betulina
0632010,Strawberry,0632010-013,Buckwheat,Fagopyrum esculentum
0632010,Strawberry,0632010-014,Catmint,Nepeta cataria
0632010,Strawberry,0632010-015,Centaury,Centaurium erythraea
0632010,Strawberry,0632010-016,Chiretta,Swertia chirata
0632010,Strawberry,0632010-017,Clary sage,Salvia sclarea
0632010,Strawberry,0632010-018,Clubmoss,Lycopodium clavatum
0632010,Strawberry,0632010-019,Common speedwell,Veronica officinalis
0632010,Strawberry,0632010-020,Common vervain/common verbena,Verbena officinalis
0632010,Strawberry,0632010-021,Cornflower,Centaurea cyanus
