eu_code,eu_desc,hs6,annex1_legal_ref,release_variant
153010,Blackberries,081020,0153010 Blackberries | Rubus sect. Rubus,CORE_RAC_ONLY
270010,Asparagus,070920,0270010 Asparagus | Asparagus officinalis,CORE_RAC_ONLY
163080,Pineapples,080430,0163080 Pineapples | Ananas comosus,CORE_RAC_ONLY
231030,Aubergines/eggplants,070930,0231030 Aubergines/eggplants | Solanum melongena,CORE_RAC_ONLY
152000,(b) strawberries,081010,0152000  | Fragaria x ananassa,CORE_RAC_ONLY
130020,Pears,080830,0130020 Pears | Pyrus communis,CORE_RAC_ONLY
120060,Hazelnuts/cobnuts,080221,0120060 Hazelnuts/cobnuts | Corylus avellana,CORE_RAC_ONLY
280010,Cultivated fungi,070951,0280010 Cultivated fungi,CORE_RAC_ONLY
251060,Roman rocket/rucola,070999,0251060 Roman rocket/rucola | Eruca sativa,CORE_RAC_ONLY
213020,Carrots,070610,0213020 Carrots | Daucus carota subsp. sativus,CORE_RAC_ONLY
120080,Pecans,080290,0120080 Pecans | Carya illinoinensis,CORE_RAC_ONLY
300030,Peas,071310,0300030 Peas | Pisum sativum,CORE_RAC_ONLY
161060,Kaki/Japanese persimmons,081070,0161060 Kaki/Japanese persimmons | Diospyros kaki,CORE_RAC_ONLY
163030,Mangoes,080450,0163030 Mangoes | Mangifera indica,CORE_RAC_ONLY
120010,Almonds,080211,0120010 Almonds | Amygdalus communis ; syn: Prunus dulcis,CORE_RAC_ONLY
840010,Liquorice,121190,0840010 Liquorice | Glycyrrhiza glabra,CORE_RAC_ONLY
401120,Borage seeds,120799,0401120 Borage seeds | Borago officinalis,CORE_RAC_ONLY
