eus,eu_desc,hs6,hs6_lumped,resolve,phase2_status,cls,h,hdesc,inpanel
251070,Red mustards,070511,LUMPED(5→070511),auto_hs6_present,needs_arbitration,LUMPING,070511,"Vegetables: cabbage (head) lettuce (lactuca sativa), fresh or chilled",True
232020,Gherkins,070700,LUMPED(2→070700),auto_verified,verified_high,OK,070700,"Vegetables: cucumbers and gherkins, fresh or chilled",True
161010,Dates,080410,,auto_verified,verified_high,OK,080410,"Fruit, edible: dates, fresh or dried",True
632990,Others (2),,,excluded_nec,excluded_nec,NO_HS6,,,False
153020,Dewberries,081010,LUMPED(5→081010),auto_hs6_present,needs_confirm,LUMPING,081010,"Fruit, edible: strawberries, fresh",False
233010,Melons,080719,LUMPED(3→080719),auto_verified,verified_high,OK,080719,"Fruit, edible: melons, other than watermelons, fresh",True
212010,Cassava roots/manioc,071410,LUMPED(4→071410),auto_hs6_present,needs_confirm,OK,071410,"Vegetable roots and tubers: manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",True
500060,Rice,100610;100620;100630;100640,,vn_finalized,verified_high,UMBRELLA/multi,100610,Cereals: rice in the husk (paddy or rough),True
232030,Courgettes,070993,LUMPED(4→070993),auto_hs6_present,needs_arbitration,OK,070993,"Vegetables: pumpkins, squash and gourds (Cucurbita spp.), fresh or chilled",True
252990,Others (2),070940,LUMPED(11→070940),auto_hs6_present,excluded_nec,OK,070940,"Vegetables: celery (other than celeriac), fresh or chilled",False
1030000,Birds eggs,,,,needs_review_group,NO_HS6,,,False
1015030,Liver,,,,needs_review_noanchor,NO_HS6,,,False
1014050,Edible offals (other than liver and kidney),,,,needs_review_noanchor,NO_HS6,,,False
220040,Spring onions/green onions and Welsh onions,070310,LUMPED(4→070310),auto_hs6_present,needs_arbitration,OK,070310,"Vegetables, alliaceous: onions and shallots, fresh or chilled",True
243990,Others (2),070519,LUMPED(5→070519),auto_hs6_present,excluded_nec,OK,070519,"Vegetables: lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled",True
230000,Fruiting vegetables,,,needs_review,needs_review_group,NO_HS6,,,False
1017030,Liver,,,,needs_review_noanchor,NO_HS6,,,False
213080,Radishes,070690,LUMPED(5→070690),auto_verified,verified_high,OK,070690,"Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",True
1017010,Muscle,,,,needs_review_noanchor,NO_HS6,,,False
200000,"VEGETABLES, FRESH or FROZEN",,,needs_review,needs_review_group,NO_HS6,,,False
153990,Others (2),081040,LUMPED(8→081040),auto_hs6_present,excluded_nec,OK,081040,"Fruit, edible: cranberries, bilberries and other fruits of the genus vaccinium, fresh",False
401090,Cotton seeds,120721,,auto_sci_name,needs_review_noanchor,OK,120721,"Oil seeds: cotton seeds, seed, whether or not broken",True
1013050,Edible offals (other than liver and kidney),,,,needs_review_noanchor,NO_HS6,,,False
810060,Dill,090961,LUMPED(5→090961),auto_hs6_present,needs_arbitration,LUMPING,090961,"Spices: seeds of anise, badian, caraway or fennel: juniper berries, neither crushed nor ground",True
154060,Mulberries (black and white),081020,LUMPED(4→081020),auto_hs6_present,needs_confirm,OK,081020,"Fruit, edible: raspberries, blackberries, mulberries, and loganberries, fresh",False
1016990,Others (2),,,,excluded_nec,NO_HS6,,,False
402040,Kapok,080232,,auto_sci_name,needs_review_noanchor,ERROR,080232,"Nuts, edible: walnuts, fresh or dried, shelled",True
1010000,Commodities from,,,,needs_review_group,NO_HS6,,,False
1030030,Geese,,,,needs_review_noanchor,NO_HS6,,,False
810070,Fennel,090961,LUMPED(5→090961),auto_verified,verified_high,OK,090961,"Spices: seeds of anise, badian, caraway or fennel: juniper berries, neither crushed nor ground",True
631990,Others (2),,,excluded_nec,excluded_nec,NO_HS6,,,False
163110,Soursops/guanabanas,080390,LUMPED(4→080390),auto_hs6_present,needs_arbitration,LUMPING,080390,"Fruit, edible: bananas, other than plantains, fresh or dried",True
700000,HOPS,,,needs_review,needs_review_group,NO_HS6,,,False
151020,Wine grapes,080610,LUMPED(3→080610),auto_hs6_present,needs_confirm,OK,080610,"Fruit, edible: grapes, fresh",True
633010,Valerian,121190,LUMPED(13→121190),auto_herbal_infusion,needs_review_noanchor,UMBRELLA/multi,121190,"Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes: fresh or dried, whether or not cut, crushed or powdered",True
1015010,Muscle,,,,needs_review_noanchor,NO_HS6,,,False
220010,Garlic,070320,,auto_verified,verified_high,OK,070320,"Vegetables, alliaceous: garlic, fresh or chilled",True
640000,Cocoa beans,,,needs_review,needs_review_group,NO_HS6,,,False
253000,(c) grape leaves and similar species,070970,LUMPED(7→070970),auto_hs6_present,needs_review_group,OK,070970,"Vegetables: spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled",False
1012050,Edible offals (other than liver and kidney),,,,needs_review_noanchor,NO_HS6,,,False
401060,Rapeseeds/canola seeds,120740,,auto_sci_name,needs_review_noanchor,OK,120740,"Oil seeds: sesamum seeds, whether or not broken",True
1011990,Others (2),,,,excluded_nec,NO_HS6,,,False
1015050,Edible offals (other than liver and kidney),,,,needs_review_noanchor,NO_HS6,,,False
161000,(a) edible peel,080430,LUMPED(2→080430),auto_hs6_present,needs_review_group,OK,080430,"Fruit, edible: pineapples, fresh or dried",True
154010,Blueberries,081040,LUMPED(8→081040),auto_verified,verified_high,OK,081040,"Fruit, edible: cranberries, bilberries and other fruits of the genus vaccinium, fresh",False
401130,Gold of pleasure seeds,120750,LUMPED(2→120750),auto_sci_name,needs_review_noanchor,OK,120750,"Oil seeds: mustard seeds, whether or not broken",True
1013010,Muscle,,,,needs_review_noanchor,NO_HS6,,,False
1012010,Muscle,,,,needs_review_noanchor,NO_HS6,,,False
210000,Root and tuber vegetables,,,needs_review,needs_review_group,NO_HS6,,,False
810990,Others (2),090921,LUMPED(7→090921),auto_hs6_present,excluded_nec,catchall,090921,"Spices: coriander seeds, neither crushed nor ground",True
260000,Legume vegetables,070810,LUMPED(4→070810),auto_hs6_present,needs_review_group,OK,070810,"Vegetables, leguminous: peas (pisum sativum), shelled or unshelled, fresh or chilled",True
151010,Table grapes,080610,LUMPED(3→080610),auto_verified,verified_high,OK,080610,"Fruit, edible: grapes, fresh",True
241000,(a) flowering brassica,070410,LUMPED(8→070410),auto_hs6_present,needs_review_group,OK,070410,"Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled",True
251020,Lettuces,070511,LUMPED(5→070511),auto_verified,verified_high,OK,070511,"Vegetables: cabbage (head) lettuce (lactuca sativa), fresh or chilled",True
610000,Teas,090210;090220;090230;090240,,vn_finalized,needs_review_group,UMBRELLA/multi,090210,"Tea, green: (not fermented), in immediate packings of a content not exceeding 3kg",True
241990,Others (2),070410,LUMPED(8→070410),auto_hs6_present,excluded_nec,catchall,070410,"Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled",True
161040,Kumquats,081030,LUMPED(5→081030),auto_hs6_present,needs_arbitration,LUMPING,081030,"Fruit, edible: black, white or red currants and gooseberries, fresh",False
212990,Others (2),071410,LUMPED(4→071410),auto_hs6_present,excluded_nec,catchall,071410,"Vegetable roots and tubers: manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",True
140040,Plums,080940,LUMPED(2→080940),auto_verified,verified_high,OK,080940,"Fruit, edible: plums and sloes, fresh",True
1013990,Others (2),,,,excluded_nec,NO_HS6,,,False
242000,(b) head brassica,070410,LUMPED(8→070410),auto_hs6_present,needs_review_group,OK,070410,"Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled",True
1015000,(e) equine,,,,needs_review_group,NO_HS6,,,False
900990,Others (2),,,excluded_nec,excluded_nec,NO_HS6,,,False
1011020,Fat,,,,needs_review_noanchor,NO_HS6,,,False
233000,(c) cucurbits with inedible peel,080719,LUMPED(3→080719),auto_hs6_present,needs_review_group,catchall,080719,"Fruit, edible: melons, other than watermelons, fresh",True
500040,Common milletproso millet,100821,,auto_hs6_present,needs_confirm,OK,100821,"Cereals: millet, seed",True
1020030,Goat,,,,needs_review_noanchor,NO_HS6,,,False
401030,Poppy seeds,120510,,auto_sci_name,needs_review_noanchor,OK,120510,"Oil seeds: low erucic acid rape or colza seeds, whether or not broken",True
1011030,Liver,,,,needs_review_noanchor,NO_HS6,,,False
1014040,Kidney,,,,needs_review_noanchor,NO_HS6,,,False
220000,Bulb vegetables,070310,LUMPED(4→070310),auto_hs6_present,needs_review_group,OK,070310,"Vegetables, alliaceous: onions and shallots, fresh or chilled",True
850010,Cloves,090710,LUMPED(4→090710),auto_verified,verified_high,OK,090710,"Spices: cloves (whole fruit, cloves and stems), neither crushed nor ground",True
256010,Chervil,070920,LUMPED(6→070920),auto_hs6_present,needs_arbitration,LUMPING,070920,"Vegetables: asparagus, fresh or chilled",False
633990,Others (2),,,excluded_nec,excluded_nec,NO_HS6,,,False
500090,Wheat,100111; 100119; 100191; 100199,,auto_verified,verified_high,UMBRELLA/multi,100111,"Cereals: wheat and meslin, durum wheat, seed",True
402030,Oil palms fruits,071120,LUMPED(2→071120),auto_sci_name,needs_review_noanchor,UMBRELLA/multi,071120,"Vegetables: olives, provisionally preserved but unsuitable in that state for immediate consumption",True
163070,Guavas,080450,LUMPED(2→080450),auto_verified,verified_high,OK,080450,"Fruit, edible: guavas, mangoes and mangosteens, fresh or dried",True
153030,Raspberries (red and yellow),081020,LUMPED(4→081020),auto_hs6_present,needs_confirm,OK,081020,"Fruit, edible: raspberries, blackberries, mulberries, and loganberries, fresh",False
810000,Seed spices,090921,LUMPED(7→090921),auto_hs6_present,needs_review_group,OK,090921,"Spices: coriander seeds, neither crushed nor ground",True
231040,Okralady's fingers,070999,LUMPED(2→070999),vn_finalized,needs_arbitration,UMBRELLA/multi,070999,"Vegetables: edible, n.e.c. in chapter 07, fresh or chilled",False
256080,Basil and edible flowers,070960,LUMPED(3→070960),auto_hs6_present,needs_arbitration,LUMPING,070960,"Vegetables: fruits of the genus capsicum or of the genus pimenta, fresh or chilled",False
162020,Litchislychees,081090,LUMPED(6→081090),vn_finalized,needs_arbitration,UMBRELLA/multi,081090,"Fruit, edible: fruits n.e.c. in heading no. 0801 to 0810, fresh",True
154050,Rose hips,081010,LUMPED(5→081010),auto_hs6_present,needs_arbitration,LUMPING,081010,"Fruit, edible: strawberries, fresh",False
